Unique_ID,Protein.Accession,Gene,Protein.Full.Name,Entry,Entry.name,Status,Protein.names,Gene.names,Organism,Gene.ontology.GO,Gene.ontology.IDs,ID,Protein.Accession1
Spis_Protein2028,A0A2B4S1L4,FAAH,Fatty acid amide hydrolase,A0A2B4S1L4,A0A2B4S1L4_STYPI,unreviewed,Fatty acid amide hydrolase,FAAH AWC38_SpisGene12518,Stylophora pistillata (Smooth cauliflower coral),hydrolase activity [GO:0016787],GO:0016787,A0A2B4S1L4,A0A2B4S1L4
Spis_Protein2029,A0A2B4S1M4,IPCEF1,Interactor protein for cytohesin exchange factors 1,A0A2B4S1M4,A0A2B4S1M4_STYPI,unreviewed,Interactor protein for cytohesin exchange factors 1,IPCEF1 AWC38_SpisGene12537,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S1M4,A0A2B4S1M4
Spis_Protein2030,A0A2B4S1M6,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,A0A2B4S1M6,A0A2B4S1M6_STYPI,unreviewed,Procollagen-proline 4-dioxygenase (EC 1.14.11.2),P4HA2 AWC38_SpisGene12982,Stylophora pistillata (Smooth cauliflower coral),"endoplasmic reticulum lumen [GO:0005788]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; procollagen-proline 4-dioxygenase activity [GO:0004656]",GO:0004656; GO:0005506; GO:0005788; GO:0016702; GO:0031418,A0A2B4S1M6,A0A2B4S1M6
Spis_Protein2031,A0A2B4S1M7,Trim71,E3 ubiquitin-protein ligase TRIM71,A0A2B4S1M7,A0A2B4S1M7_STYPI,unreviewed,E3 ubiquitin-protein ligase TRIM71,Trim71 AWC38_SpisGene11631,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S1M7,A0A2B4S1M7
Spis_Protein2032,A0A2B4S1M8,COASY,Bifunctional coenzyme A synthase,A0A2B4S1M8,A0A2B4S1M8_STYPI,unreviewed,Bifunctional coenzyme A synthase,COASY AWC38_SpisGene12144,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524]; dephospho-CoA kinase activity [GO:0004140]; coenzyme A biosynthetic process [GO:0015937],GO:0004140; GO:0005524; GO:0015937,A0A2B4S1M8,A0A2B4S1M8
Spis_Protein2033,A0A2B4S1N4,IGSF10,Immunoglobulin superfamily member 10,A0A2B4S1N4,A0A2B4S1N4_STYPI,unreviewed,Immunoglobulin superfamily member 10,IGSF10 AWC38_SpisGene13070,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S1N4,A0A2B4S1N4
Spis_Protein2034,A0A2B4S1N6,SPTBN1,"Spectrin beta chain, non-erythrocytic 1",A0A2B4S1N6,A0A2B4S1N6_STYPI,unreviewed,"Spectrin beta chain, non-erythrocytic 1",SPTBN1 AWC38_SpisGene12996,Stylophora pistillata (Smooth cauliflower coral),actin binding [GO:0003779],GO:0003779,A0A2B4S1N6,A0A2B4S1N6
Spis_Protein2035,A0A2B4S1N8,nhp2,Ribonucloprotein,A0A2B4S1N8,A0A2B4S1N8_STYPI,unreviewed,Ribonucloprotein,nhp2 AWC38_SpisGene13047,Stylophora pistillata (Smooth cauliflower coral),nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; viral nucleocapsid [GO:0019013]; RNA binding [GO:0003723]; ribosome biogenesis [GO:0042254],GO:0003723; GO:0005730; GO:0019013; GO:0042254; GO:1990904,A0A2B4S1N8,A0A2B4S1N8
Spis_Protein2036,A0A2B4S1P5,AWC38_SpisGene12492,Nucleoplasmin-like protein ANO39,A0A2B4S1P5,A0A2B4S1P5_STYPI,unreviewed,Nucleoplasmin-like protein ANO39,AWC38_SpisGene12492,Stylophora pistillata (Smooth cauliflower coral),nucleus [GO:0005634],GO:0005634,A0A2B4S1P5,A0A2B4S1P5
Spis_Protein2037,A0A2B4S1P7,Faxc,Failed axon connections-like,A0A2B4S1P7,A0A2B4S1P7_STYPI,unreviewed,Failed axon connections-like,Faxc AWC38_SpisGene12749,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021],GO:0016021,A0A2B4S1P7,A0A2B4S1P7
Spis_Protein2038,A0A2B4S1Q0,AWC38_SpisGene11609,Uncharacterized protein,A0A2B4S1Q0,A0A2B4S1Q0_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene11609,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S1Q0,A0A2B4S1Q0
Spis_Protein2039,A0A2B4S1Q1,SPTBN1,"Spectrin beta chain, non-erythrocytic 1",A0A2B4S1Q1,A0A2B4S1Q1_STYPI,unreviewed,"Spectrin beta chain, non-erythrocytic 1",SPTBN1 AWC38_SpisGene12997,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S1Q1,A0A2B4S1Q1
Spis_Protein2040,A0A2B4S1Q6,Vps13c,Vacuolar protein sorting-associated protein 13C,A0A2B4S1Q6,A0A2B4S1Q6_STYPI,unreviewed,Vacuolar protein sorting-associated protein 13C,Vps13c AWC38_SpisGene12103,Stylophora pistillata (Smooth cauliflower coral),calcium ion binding [GO:0005509],GO:0005509,A0A2B4S1Q6,A0A2B4S1Q6
Spis_Protein2041,A0A2B4S1R1,Dgkz,Diacylglycerol kinase,A0A2B4S1R1,A0A2B4S1R1_STYPI,unreviewed,Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107),Dgkz AWC38_SpisGene10771,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524]; diacylglycerol kinase activity [GO:0004143]; NAD+ kinase activity [GO:0003951]; intracellular signal transduction [GO:0035556]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205],GO:0003951; GO:0004143; GO:0005524; GO:0007205; GO:0035556,A0A2B4S1R1,A0A2B4S1R1
Spis_Protein2042,A0A2B4S1T4,NDUFS6,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",A0A2B4S1T4,A0A2B4S1T4_STYPI,unreviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUFS6 AWC38_SpisGene12455,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S1T4,A0A2B4S1T4
Spis_Protein2043,A0A2B4S1T8,dvl3,Segment polarity protein dishevelled-like DVL-3,A0A2B4S1T8,A0A2B4S1T8_STYPI,unreviewed,Segment polarity protein dishevelled-like DVL-3,dvl3 AWC38_SpisGene11571,Stylophora pistillata (Smooth cauliflower coral),intracellular signal transduction [GO:0035556]; multicellular organism development [GO:0007275]; Wnt signaling pathway [GO:0016055],GO:0007275; GO:0016055; GO:0035556,A0A2B4S1T8,A0A2B4S1T8
Spis_Protein2044,A0A2B4S1U4,AWC38_SpisGene12945,ADP-ribosylation factor,A0A2B4S1U4,A0A2B4S1U4_STYPI,unreviewed,ADP-ribosylation factor,AWC38_SpisGene12945,Stylophora pistillata (Smooth cauliflower coral),GTP binding [GO:0005525],GO:0005525,A0A2B4S1U4,A0A2B4S1U4
Spis_Protein2045,A0A2B4S1U8,Ggt1,Gamma-glutamyltranspeptidase 1,A0A2B4S1U8,A0A2B4S1U8_STYPI,unreviewed,Gamma-glutamyltranspeptidase 1,Ggt1 AWC38_SpisGene11531,Stylophora pistillata (Smooth cauliflower coral),glutathione hydrolase activity [GO:0036374]; glutathione catabolic process [GO:0006751],GO:0006751; GO:0036374,A0A2B4S1U8,A0A2B4S1U8
Spis_Protein2046,A0A2B4S1U9,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta,A0A2B4S1U9,A0A2B4S1U9_STYPI,unreviewed,Calcium/calmodulin-dependent protein kinase type II subunit delta,CAMK2D AWC38_SpisGene10735,Stylophora pistillata (Smooth cauliflower coral),"integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; protein kinase activity [GO:0004672]; lipid metabolic process [GO:0006629]",GO:0004672; GO:0005524; GO:0006629; GO:0016021; GO:0016627,A0A2B4S1U9,A0A2B4S1U9
Spis_Protein2047,A0A2B4S1V1,PIPOX,Peroxisomal sarcosine oxidase,A0A2B4S1V1,A0A2B4S1V1_STYPI,unreviewed,Peroxisomal sarcosine oxidase,PIPOX AWC38_SpisGene12085,Stylophora pistillata (Smooth cauliflower coral),oxidoreductase activity [GO:0016491],GO:0016491,A0A2B4S1V1,A0A2B4S1V1
Spis_Protein2048,A0A2B4S1V7,Coprox,Oxygen-dependent coproporphyrinogen-III oxidase,A0A2B4S1V7,A0A2B4S1V7_STYPI,unreviewed,Coproporphyrinogen oxidase (EC 1.3.3.3),Coprox AWC38_SpisGene11545,Stylophora pistillata (Smooth cauliflower coral),coproporphyrinogen oxidase activity [GO:0004109]; protoporphyrinogen IX biosynthetic process [GO:0006782],GO:0004109; GO:0006782,A0A2B4S1V7,A0A2B4S1V7
Spis_Protein2049,A0A2B4S1W3,Uap1,UDP-N-acetylhexosamine pyrophosphorylase,A0A2B4S1W3,A0A2B4S1W3_STYPI,unreviewed,UDP-N-acetylhexosamine pyrophosphorylase,Uap1 AWC38_SpisGene12420,Stylophora pistillata (Smooth cauliflower coral),uridylyltransferase activity [GO:0070569],GO:0070569,A0A2B4S1W3,A0A2B4S1W3
Spis_Protein2050,A0A2B4S1W5,RPS14,40S ribosomal protein S14,A0A2B4S1W5,A0A2B4S1W5_STYPI,unreviewed,40S ribosomal protein S14,RPS14 AWC38_SpisGene12424,Stylophora pistillata (Smooth cauliflower coral),ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],GO:0003735; GO:0005840; GO:0006412,A0A2B4S1W5,A0A2B4S1W5
Spis_Protein2051,A0A2B4S1W7,XYLA,Xylose isomerase (Fragment),A0A2B4S1W7,A0A2B4S1W7_STYPI,unreviewed,Xylose isomerase (EC 5.3.1.5) (Fragment),XYLA AWC38_SpisGene10716,Stylophora pistillata (Smooth cauliflower coral),metal ion binding [GO:0046872]; xylose isomerase activity [GO:0009045]; D-xylose metabolic process [GO:0042732],GO:0009045; GO:0042732; GO:0046872,A0A2B4S1W7,A0A2B4S1W7
Spis_Protein2052,A0A2B4S1W9,Cux1,Protein CASP,A0A2B4S1W9,A0A2B4S1W9_STYPI,unreviewed,Protein CASP,Cux1 AWC38_SpisGene11523,Stylophora pistillata (Smooth cauliflower coral),integral component of Golgi membrane [GO:0030173]; intra-Golgi vesicle-mediated transport [GO:0006891],GO:0006891; GO:0030173,A0A2B4S1W9,A0A2B4S1W9
Spis_Protein2053,A0A2B4S1X6,atpaf1,ATP synthase mitochondrial F1 complex assembly factor 1,A0A2B4S1X6,A0A2B4S1X6_STYPI,unreviewed,ATP synthase mitochondrial F1 complex assembly factor 1,atpaf1 AWC38_SpisGene12954,Stylophora pistillata (Smooth cauliflower coral),mitochondrion [GO:0005739]; protein-containing complex assembly [GO:0065003],GO:0005739; GO:0065003,A0A2B4S1X6,A0A2B4S1X6
Spis_Protein2054,A0A2B4S1X7,SPTBN1,"Spectrin beta chain, non-erythrocytic 1",A0A2B4S1X7,A0A2B4S1X7_STYPI,unreviewed,"Spectrin beta chain, non-erythrocytic 1",SPTBN1 AWC38_SpisGene12998,Stylophora pistillata (Smooth cauliflower coral),phospholipid binding [GO:0005543],GO:0005543,A0A2B4S1X7,A0A2B4S1X7
Spis_Protein2055,A0A2B4S1X9,02-ספט,Septin-2,A0A2B4S1X9,A0A2B4S1X9_STYPI,unreviewed,Septin-2,SEPT2 AWC38_SpisGene10692,Stylophora pistillata (Smooth cauliflower coral),ciliary membrane [GO:0060170]; cleavage furrow [GO:0032154]; midbody [GO:0030496]; spindle [GO:0005819]; GTP binding [GO:0005525]; cell division [GO:0051301],GO:0005525; GO:0005819; GO:0030496; GO:0032154; GO:0051301; GO:0060170,A0A2B4S1X9,A0A2B4S1X9
Spis_Protein2056,A0A2B4S1Y2,Pnpla7,Patatin-like phospholipase domain-containing protein 7,A0A2B4S1Y2,A0A2B4S1Y2_STYPI,unreviewed,Patatin-like phospholipase domain-containing protein 7,Pnpla7 AWC38_SpisGene12889,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S1Y2,A0A2B4S1Y2
Spis_Protein2057,A0A2B4S1Y9,PGM1,Phosphoglucomutase-1,A0A2B4S1Y9,A0A2B4S1Y9_STYPI,unreviewed,Phosphoglucomutase-1,PGM1 AWC38_SpisGene12959,Stylophora pistillata (Smooth cauliflower coral),"intramolecular transferase activity, phosphotransferases [GO:0016868]; magnesium ion binding [GO:0000287]; glucose metabolic process [GO:0006006]",GO:0000287; GO:0006006; GO:0016868,A0A2B4S1Y9,A0A2B4S1Y9
Spis_Protein2058,A0A2B4S1Z3,MPST,3-mercaptopyruvate sulfurtransferase,A0A2B4S1Z3,A0A2B4S1Z3_STYPI,unreviewed,3-mercaptopyruvate sulfurtransferase,MPST AWC38_SpisGene12911,Stylophora pistillata (Smooth cauliflower coral),transferase activity [GO:0016740],GO:0016740,A0A2B4S1Z3,A0A2B4S1Z3
Spis_Protein2059,A0A2B4S202,AWC38_SpisGene12871,"Actin, cytoskeletal 1",A0A2B4S202,A0A2B4S202_STYPI,unreviewed,"Actin, cytoskeletal 1",AWC38_SpisGene12871,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S202,A0A2B4S202
Spis_Protein2060,A0A2B4S204,AWC38_SpisGene12382,Amino_oxidase domain-containing protein,A0A2B4S204,A0A2B4S204_STYPI,unreviewed,Amino_oxidase domain-containing protein,AWC38_SpisGene12382,Stylophora pistillata (Smooth cauliflower coral),oxidoreductase activity [GO:0016491],GO:0016491,A0A2B4S204,A0A2B4S204
Spis_Protein2061,A0A2B4S208,Trypsin-2,Trypsin-2,A0A2B4S208,A0A2B4S208_STYPI,unreviewed,Trypsin-2,Trypsin-2 AWC38_SpisGene10667,Stylophora pistillata (Smooth cauliflower coral),nematocyst [GO:0042151]; serine-type endopeptidase activity [GO:0004252]; toxin activity [GO:0090729],GO:0004252; GO:0042151; GO:0090729,A0A2B4S208,A0A2B4S208
Spis_Protein2062,A0A2B4S210,egtB,Iron(II)-dependent oxidoreductase EgtB,A0A2B4S210,A0A2B4S210_STYPI,unreviewed,Iron(II)-dependent oxidoreductase EgtB,egtB AWC38_SpisGene12960,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S210,A0A2B4S210
Spis_Protein2063,A0A2B4S213,Gde1,Glycerophosphodiester phosphodiesterase 1,A0A2B4S213,A0A2B4S213_STYPI,unreviewed,Glycerophosphodiester phosphodiesterase 1,Gde1 AWC38_SpisGene12863,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629],GO:0006629; GO:0008081; GO:0016021,A0A2B4S213,A0A2B4S213
Spis_Protein2064,A0A2B4S219,Arsb,Arylsulfatase B,A0A2B4S219,A0A2B4S219_STYPI,unreviewed,Arylsulfatase B,Arsb AWC38_SpisGene12850,Stylophora pistillata (Smooth cauliflower coral),sulfuric ester hydrolase activity [GO:0008484],GO:0008484,A0A2B4S219,A0A2B4S219
Spis_Protein2065,A0A2B4S228,ahctf1,Protein ELYS,A0A2B4S228,A0A2B4S228_STYPI,unreviewed,Protein ELYS,ahctf1 AWC38_SpisGene11969,Stylophora pistillata (Smooth cauliflower coral),nucleus [GO:0005634],GO:0005634,A0A2B4S228,A0A2B4S228
Spis_Protein2066,A0A2B4S232,AWC38_SpisGene12827,CCHC NOA-type domain-containing protein,A0A2B4S232,A0A2B4S232_STYPI,unreviewed,CCHC NOA-type domain-containing protein,AWC38_SpisGene12827,Stylophora pistillata (Smooth cauliflower coral),K63-linked polyubiquitin modification-dependent protein binding [GO:0070530],GO:0070530,A0A2B4S232,A0A2B4S232
Spis_Protein2067,A0A2B4S234,Golga4,Golgin subfamily A member 4,A0A2B4S234,A0A2B4S234_STYPI,unreviewed,Golgin subfamily A member 4,Golga4 AWC38_SpisGene10659,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S234,A0A2B4S234
Spis_Protein2068,A0A2B4S237,xrn-2,5'-3' exoribonuclease 2-like,A0A2B4S237,A0A2B4S237_STYPI,unreviewed,5'-3' exoribonuclease 2-like,xrn-2 AWC38_SpisGene12343,Stylophora pistillata (Smooth cauliflower coral),exonuclease activity [GO:0004527]; nucleic acid binding [GO:0003676],GO:0003676; GO:0004527,A0A2B4S237,A0A2B4S237
Spis_Protein2069,A0A2B4S240,SNX8,Sorting nexin-8,A0A2B4S240,A0A2B4S240_STYPI,unreviewed,Sorting nexin-8,SNX8 AWC38_SpisGene12842,Stylophora pistillata (Smooth cauliflower coral),"cytosol [GO:0005829]; membrane [GO:0016020]; phosphatidylinositol binding [GO:0035091]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]",GO:0005829; GO:0015031; GO:0016020; GO:0035091; GO:0042147,A0A2B4S240,A0A2B4S240
Spis_Protein2070,A0A2B4S241,SVEP1,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",A0A2B4S241,A0A2B4S241_STYPI,unreviewed,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",SVEP1 AWC38_SpisGene12807,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S241,A0A2B4S241
Spis_Protein2071,A0A2B4S247,Nop2,Putative ribosomal RNA methyltransferase NOP2,A0A2B4S247,A0A2B4S247_STYPI,unreviewed,Putative ribosomal RNA methyltransferase NOP2,Nop2 AWC38_SpisGene11954,Stylophora pistillata (Smooth cauliflower coral),RNA binding [GO:0003723]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; methylation [GO:0032259]; rRNA processing [GO:0006364],GO:0003723; GO:0006364; GO:0008757; GO:0032259,A0A2B4S247,A0A2B4S247
Spis_Protein2072,A0A2B4S250,acsf2,"Acyl-CoA synthetase family member 2, mitochondrial",A0A2B4S250,A0A2B4S250_STYPI,unreviewed,"Acyl-CoA synthetase family member 2, mitochondrial",acsf2 AWC38_SpisGene12831,Stylophora pistillata (Smooth cauliflower coral),catalytic activity [GO:0003824],GO:0003824,A0A2B4S250,A0A2B4S250
Spis_Protein2073,A0A2B4S254,AWC38_SpisGene12921,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",A0A2B4S254,A0A2B4S254_STYPI,unreviewed,"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",AWC38_SpisGene12921,Stylophora pistillata (Smooth cauliflower coral),mitochondrion [GO:0005739]; nucleosome [GO:0000786]; DNA binding [GO:0003677]; isocitrate dehydrogenase (NAD+) activity [GO:0004449]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; protein heterodimerization activity [GO:0046982]; tricarboxylic acid cycle [GO:0006099],GO:0000287; GO:0000786; GO:0003677; GO:0004449; GO:0005739; GO:0006099; GO:0046982; GO:0051287,A0A2B4S254,A0A2B4S254
Spis_Protein2074,A0A2B4S259,rpl11,60S ribosomal protein L11,A0A2B4S259,A0A2B4S259_STYPI,unreviewed,60S ribosomal protein L11,rpl11 AWC38_SpisGene12338,Stylophora pistillata (Smooth cauliflower coral),ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],GO:0003735; GO:0005840; GO:0006412,A0A2B4S259,A0A2B4S259
Spis_Protein2075,A0A2B4S262,ALDH1A1,Retinal dehydrogenase 1,A0A2B4S262,A0A2B4S262_STYPI,unreviewed,Retinal dehydrogenase 1,ALDH1A1 AWC38_SpisGene12912,Stylophora pistillata (Smooth cauliflower coral),"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]",GO:0016620,A0A2B4S262,A0A2B4S262
Spis_Protein2076,A0A2B4S263,RARS,"Arginine--tRNA ligase, cytoplasmic (Fragment)",A0A2B4S263,A0A2B4S263_STYPI,unreviewed,Arginine--tRNA ligase (EC 6.1.1.19) (Fragment),RARS AWC38_SpisGene12803,Stylophora pistillata (Smooth cauliflower coral),arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; arginyl-tRNA aminoacylation [GO:0006420],GO:0004814; GO:0005524; GO:0006420,A0A2B4S263,A0A2B4S263
Spis_Protein2077,A0A2B4S264,AWC38_SpisGene12875,"Actin, cytoplasmic",A0A2B4S264,A0A2B4S264_STYPI,unreviewed,"Actin, cytoplasmic",AWC38_SpisGene12875,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S264,A0A2B4S264
Spis_Protein2078,A0A2B4S270,Ugt8,UDP-glucuronosyltransferase,A0A2B4S270,A0A2B4S270_STYPI,unreviewed,UDP-glucuronosyltransferase (EC 2.4.1.17),Ugt8 AWC38_SpisGene12790,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020],GO:0015020; GO:0016021,A0A2B4S270,A0A2B4S270
Spis_Protein2079,A0A2B4S275,Prickle3,Prickle-like protein 3,A0A2B4S275,A0A2B4S275_STYPI,unreviewed,Prickle-like protein 3,Prickle3 AWC38_SpisGene12830,Stylophora pistillata (Smooth cauliflower coral),nucleus [GO:0005634]; zinc ion binding [GO:0008270],GO:0005634; GO:0008270,A0A2B4S275,A0A2B4S275
Spis_Protein2080,A0A2B4S282,Pfdn6,Prefoldin subunit 6,A0A2B4S282,A0A2B4S282_STYPI,unreviewed,Prefoldin subunit 6,Pfdn6 AWC38_SpisGene12779,Stylophora pistillata (Smooth cauliflower coral),prefoldin complex [GO:0016272]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457],GO:0006457; GO:0016272; GO:0051082,A0A2B4S282,A0A2B4S282
Spis_Protein2081,A0A2B4S283,AWC38_SpisGene12876,"Actin, cytoplasmic",A0A2B4S283,A0A2B4S283_STYPI,unreviewed,"Actin, cytoplasmic",AWC38_SpisGene12876,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S283,A0A2B4S283
Spis_Protein2082,A0A2B4S284,GUCY1B1,Guanylate cyclase soluble subunit beta-1,A0A2B4S284,A0A2B4S284_STYPI,unreviewed,Guanylate cyclase (EC 4.6.1.2),GUCY1B1 AWC38_SpisGene12816,Stylophora pistillata (Smooth cauliflower coral),cytoplasm [GO:0005737]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; heme binding [GO:0020037]; intracellular signal transduction [GO:0035556],GO:0004383; GO:0005525; GO:0005737; GO:0020037; GO:0035556,A0A2B4S284,A0A2B4S284
Spis_Protein2083,A0A2B4S285,Gabarapl2,Gamma-aminobutyric acid receptor-associated protein-like 2,A0A2B4S285,A0A2B4S285_STYPI,unreviewed,Gamma-aminobutyric acid receptor-associated protein-like 2,Gabarapl2 AWC38_SpisGene11936,Stylophora pistillata (Smooth cauliflower coral),autophagy [GO:0006914],GO:0006914,A0A2B4S285,A0A2B4S285
Spis_Protein2084,A0A2B4S287,TRANK1,TPR and ankyrin repeat-containing protein 1,A0A2B4S287,A0A2B4S287_STYPI,unreviewed,TPR and ankyrin repeat-containing protein 1,TRANK1 AWC38_SpisGene12553,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524]; hydrolase activity [GO:0016787],GO:0005524; GO:0016787,A0A2B4S287,A0A2B4S287
Spis_Protein2085,A0A2B4S288,Gde1,Glycerophosphodiester phosphodiesterase 1,A0A2B4S288,A0A2B4S288_STYPI,unreviewed,Glycerophosphodiester phosphodiesterase 1,Gde1 AWC38_SpisGene12864,Stylophora pistillata (Smooth cauliflower coral),phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629],GO:0006629; GO:0008081,A0A2B4S288,A0A2B4S288
Spis_Protein2086,A0A2B4S293,PRDX6,Peroxiredoxin-6,A0A2B4S293,A0A2B4S293_STYPI,unreviewed,Peroxiredoxin-6,PRDX6 AWC38_SpisGene12782,Stylophora pistillata (Smooth cauliflower coral),peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920],GO:0004601; GO:0051920,A0A2B4S293,A0A2B4S293
Spis_Protein2087,A0A2B4S294,UGT8,UDP-glucuronosyltransferase,A0A2B4S294,A0A2B4S294_STYPI,unreviewed,UDP-glucuronosyltransferase (EC 2.4.1.17),UGT8 AWC38_SpisGene12791,Stylophora pistillata (Smooth cauliflower coral),integral component of membrane [GO:0016021]; glucuronosyltransferase activity [GO:0015020],GO:0015020; GO:0016021,A0A2B4S294,A0A2B4S294
Spis_Protein2088,A0A2B4S295,NME2,Nucleoside diphosphate kinase,A0A2B4S295,A0A2B4S295_STYPI,unreviewed,Nucleoside diphosphate kinase (EC 2.7.4.6),NME2 AWC38_SpisGene11897,Stylophora pistillata (Smooth cauliflower coral),ATP binding [GO:0005524]; nucleoside diphosphate kinase activity [GO:0004550]; CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228],GO:0004550; GO:0005524; GO:0006183; GO:0006228; GO:0006241,A0A2B4S295,A0A2B4S295
Spis_Protein2089,A0A2B4S296,Aspscr1,Tether containing UBX domain for GLUT4,A0A2B4S296,A0A2B4S296_STYPI,unreviewed,Tether containing UBX domain for GLUT4,Aspscr1 AWC38_SpisGene12301,Stylophora pistillata (Smooth cauliflower coral),signal transduction [GO:0007165],GO:0007165,A0A2B4S296,A0A2B4S296
Spis_Protein2090,A0A2B4S297,cnfn,Cornifelin-like,A0A2B4S297,A0A2B4S297_STYPI,unreviewed,Cornifelin-like,cnfn AWC38_SpisGene12883,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S297,A0A2B4S297
Spis_Protein2091,A0A2B4S298,Atg12,Ubiquitin-like protein ATG12,A0A2B4S298,A0A2B4S298_STYPI,unreviewed,Ubiquitin-like protein ATG12,Atg12 AWC38_SpisGene12846,Stylophora pistillata (Smooth cauliflower coral),cytoplasm [GO:0005737]; autophagosome assembly [GO:0000045],GO:0000045; GO:0005737,A0A2B4S298,A0A2B4S298
Spis_Protein2092,A0A2B4S299,DBNL,Drebrin-like protein,A0A2B4S299,A0A2B4S299_STYPI,unreviewed,Drebrin-like protein,DBNL AWC38_SpisGene10558,Stylophora pistillata (Smooth cauliflower coral),actin binding [GO:0003779],GO:0003779,A0A2B4S299,A0A2B4S299
Spis_Protein2093,A0A2B4S2A0,Top3b,DNA topoisomerase,A0A2B4S2A0,A0A2B4S2A0_STYPI,unreviewed,DNA topoisomerase (EC 5.6.2.1),Top3b AWC38_SpisGene12768,Stylophora pistillata (Smooth cauliflower coral),"DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; DNA topological change [GO:0006265]",GO:0003677; GO:0003917; GO:0006265,A0A2B4S2A0,A0A2B4S2A0
Spis_Protein2094,A0A2B4S2A1,Sf3b6,Splicing factor 3B subunit 6,A0A2B4S2A1,A0A2B4S2A1_STYPI,unreviewed,Splicing factor 3B subunit 6,Sf3b6 AWC38_SpisGene12548,Stylophora pistillata (Smooth cauliflower coral),nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA processing [GO:0006397],GO:0003723; GO:0005634; GO:0006397,A0A2B4S2A1,A0A2B4S2A1
Spis_Protein2095,A0A2B4S2A4,Matn2,Matrilin-2,A0A2B4S2A4,A0A2B4S2A4_STYPI,unreviewed,Matrilin-2,Matn2 AWC38_SpisGene12772,Stylophora pistillata (Smooth cauliflower coral),#N/A,#N/A,A0A2B4S2A4,A0A2B4S2A4
